epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,413.449,0.6939,0.83004,0.00881,0.84691,0.7134,0.81097,0.7084,0.68429,0.94648,0.01211,0.000314916,0.000314916,0.000314916
65,419.587,0.68095,0.75592,0.00911,0.86962,0.73254,0.81276,0.70283,0.712,1.00099,0.0124,0.000297232,0.000297232,0.000297232
66,425.812,0.67266,0.77972,0.00885,0.80636,0.76073,0.82008,0.7128,0.71849,0.99873,0.01222,0.000279548,0.000279548,0.000279548
67,431.94,0.68452,0.79898,0.00867,0.8402,0.79118,0.83756,0.72107,0.71627,0.90984,0.01297,0.000261864,0.000261864,0.000261864
68,438.174,0.67957,0.8056,0.00863,0.79568,0.83407,0.83389,0.73122,0.67079,0.82616,0.0122,0.00024418,0.00024418,0.00024418
69,444.337,0.64913,0.75463,0.00797,0.80518,0.8315,0.83651,0.74598,0.65448,0.8186,0.01142,0.000226497,0.000226497,0.000226497
70,450.526,0.66094,0.76549,0.00793,0.82789,0.80285,0.83231,0.73998,0.63795,0.84717,0.01129,0.000208813,0.000208813,0.000208813
71,457.532,0.62467,0.58602,0.01068,0.85934,0.74457,0.82114,0.68767,0.75144,0.90047,0.01442,0.000191129,0.000191129,0.000191129
72,463.672,0.60646,0.58016,0.01012,0.78509,0.77885,0.82563,0.72431,0.67672,0.89848,0.01211,0.000173445,0.000173445,0.000173445
73,469.752,0.55749,0.57149,0.00939,0.82642,0.78362,0.83696,0.74148,0.66483,0.90553,0.01165,0.000155761,0.000155761,0.000155761
74,475.818,0.55831,0.50859,0.00944,0.83498,0.78327,0.84449,0.74162,0.65758,0.9041,0.01128,0.000138077,0.000138077,0.000138077
75,481.815,0.55559,0.52063,0.00922,0.87353,0.76231,0.84926,0.7535,0.65452,0.85701,0.01135,0.000120393,0.000120393,0.000120393
76,487.986,0.50952,0.48962,0.00819,0.8365,0.81087,0.84927,0.76444,0.60251,0.83173,0.01,0.000102709,0.000102709,0.000102709
77,494.117,0.53554,0.49618,0.00854,0.83885,0.78337,0.83839,0.75199,0.61583,0.8376,0.01032,8.50255e-05,8.50255e-05,8.50255e-05
78,500.222,0.4934,0.47704,0.00794,0.82664,0.82735,0.84856,0.76005,0.61111,0.82667,0.0102,6.73416e-05,6.73416e-05,6.73416e-05
79,506.365,0.53447,0.50339,0.00866,0.85118,0.79493,0.8485,0.76103,0.62195,0.81435,0.01051,4.96578e-05,4.96578e-05,4.96578e-05
80,512.389,0.50096,0.48741,0.00816,0.88491,0.79098,0.85584,0.77202,0.62043,0.8111,0.01038,3.19739e-05,3.19739e-05,3.19739e-05
